Transaction_ID,cust_ID,Product_ID,Quantity,Order_Date,Delivery_Days,Warehouse_Route_ID
T00001,C0546,P0146,4,2024-01-26,2,WH-A1
T00002,C0609,P0938,1,2024-01-22,6,WH-C4
T00003,C0169,P0057,3,2024-01-07,6,WH-B3
T00004,C0681,P0723,1,2024-01-10,1,WH-A9
T00005,C0663,P0780,3,2024-01-28,1,WH-A7
T00006,C0583,P0210,2,2024-01-29,3,WH-A1
T00007,C0515,P0529,2,2024-01-11,6,WH-A4
T00008,C0314,P0798,5,2024-01-03,5,WH-B9
T00009,C0032,P0344,2,2024-01-20,7,WH-E1
T00010,C0287,P0715,5,2024-01-10,7,WH-E4
T00011,C0594,P0611,1,2024-01-27,7,WH-E7
T00012,C0043,P0279,2,2024-01-10,3,WH-B8
T00013,C0903,P0209,1,2024-01-14,7,WH-E5
T00014,C0617,P0641,1,2024-01-12,4,WH-A3
T00015,C0001,P0335,2,2024-01-15,2,WH-D6
T00016,C0573,P0288,1,2024-01-10,7,WH-C3
T00017,C0270,P0252,2,2024-01-30,2,WH-B6
T00018,C0180,P0265,2,2024-01-10,1,WH-A2
T00019,C0736,P0271,2,2024-01-26,7,WH-D2
T00020,C0518,P0924,3,2024-01-19,5,WH-C6
T00021,C0103,P0920,1,2024-01-01,6,WH-E5
T00022,C0010,P0700,4,2024-01-24,6,WH-A8
T00023,C0583,P0419,2,2024-01-29,1,WH-E2
T00024,C0090,P0726,1,2024-01-26,4,WH-D2
T00025,C0226,P0795,5,2024-01-10,3,WH-E5
T00026,C0670,P0211,2,2024-01-02,3,WH-E6
T00027,C0740,P0365,2,2024-01-17,5,WH-E4
T00028,C0917,P0076,4,2024-01-30,1,WH-A1
T00029,C0126,P0660,3,2024-01-24,1,WH-B5
T00030,C0956,P0321,3,2024-01-07,4,WH-A4
T00031,C0209,P0725,2,2024-01-07,7,WH-A7
T00032,C0097,P0433,1,2024-01-20,3,WH-C8
T00033,C0074,P0109,5,2024-01-27,7,WH-C3
T00034,C0627,P0641,5,2024-01-09,1,WH-C6
T00035,C0191,P0522,1,2024-01-22,7,WH-B5
T00036,C0682,P0047,2,2024-01-02,6,WH-A3
T00037,C0819,P0379,5,2024-01-14,5,WH-E4
T00038,C0960,P0827,3,2024-01-17,3,WH-B8
T00039,C0716,P0096,1,2024-01-01,4,WH-D5
T00040,C0056,P0958,4,2024-01-09,5,WH-E4
T00041,C0720,P0103,2,2024-01-20,2,WH-C1
T00042,C0553,P0892,1,2024-01-21,6,WH-B1
T00043,C0032,P0854,5,2024-01-19,4,WH-C7
T00044,C0527,P0146,2,2024-01-04,5,WH-C2
T00045,C0574,P0880,3,2024-01-28,1,WH-B6
T00046,C0667,P0942,2,2024-01-08,2,WH-B8
T00047,C0284,P0928,2,2024-01-13,4,WH-D8
T00048,C0721,P0027,3,2024-01-04,1,WH-B5
T00049,C0832,P0732,3,2024-01-09,6,WH-B4
T00050,C0494,P0530,2,2024-01-09,2,WH-E9
T00051,C0187,P0679,3,2024-01-22,3,WH-C7
T00052,C0498,P0945,1,2024-01-18,1,WH-E7
T00053,C0442,P0989,3,2024-01-12,5,WH-C4
T00054,C0130,P0082,3,2024-01-10,7,WH-B9
T00055,C0639,P0428,2,2024-01-11,4,WH-D2
T00056,C0292,P0584,1,2024-01-07,2,WH-A2
T00057,C0114,P0822,4,2024-01-09,1,WH-B3
T00058,C0199,P0479,4,2024-01-06,3,WH-D2
T00059,C0013,P0766,5,2024-01-19,7,WH-D7
T00060,C0271,P0162,3,2024-01-16,4,WH-E8
T00061,C0601,P0839,3,2024-01-30,4,WH-E5
T00062,C0215,P0932,1,2024-01-15,1,WH-E1
T00063,C0444,P0402,4,2024-01-07,3,WH-A9
T00064,C0790,P0508,5,2024-01-16,6,WH-C6
T00065,C0512,P0038,1,2024-01-05,7,WH-A5
T00066,C0447,P0955,3,2024-01-16,6,WH-D3
T00067,C0986,P0511,4,2024-01-01,2,WH-D1
T00068,C0993,P0393,5,2024-01-19,1,WH-C9
T00069,C0715,P0713,2,2024-01-05,7,WH-B9
T00070,C0074,P0494,4,2024-01-07,2,WH-A5
T00071,C0537,P0200,5,2024-01-19,6,WH-E4
T00072,C0101,P0255,1,2024-01-22,7,WH-B6
T00073,C0176,P0179,2,2024-01-05,4,WH-B9
T00074,C0427,P0547,5,2024-01-29,2,WH-E1
T00075,C0117,P0594,5,2024-01-17,3,WH-E6
T00076,C0166,P0389,3,2024-01-26,5,WH-D1
T00077,C0041,P0398,4,2024-01-22,6,WH-A6
T00078,C0429,P0732,3,2024-01-30,6,WH-C4
T00079,C0344,P0158,2,2024-01-08,3,WH-A4
T00080,C0424,P0004,5,2024-01-29,7,WH-E2
T00081,C0366,P0167,3,2024-01-29,7,WH-A8
T00082,C0120,P0468,4,2024-01-01,7,WH-A9
T00083,C0609,P0960,2,2024-01-02,2,WH-B3
T00084,C0657,P0409,1,2024-01-30,1,WH-D9
T00085,C0728,P0412,3,2024-01-15,4,WH-B5
T00086,C0229,P0204,2,2024-01-20,5,WH-E7
T00087,C0825,P0194,1,2024-01-28,1,WH-B9
T00088,C0130,P0235,3,2024-01-18,1,WH-B5
T00089,C0352,P0718,2,2024-01-11,3,WH-D6
T00090,C0889,P0150,2,2024-01-25,2,WH-D9
T00091,C0318,P0159,3,2024-01-10,6,WH-D2
T00092,C0984,P0279,2,2024-01-24,6,WH-B4
T00093,C0649,P0816,5,2024-01-24,3,WH-A6
T00094,C0836,P0404,3,2024-01-04,2,WH-A9
T00095,C0337,P0893,2,2024-01-05,3,WH-B4
T00096,C0273,P0678,1,2024-01-04,6,WH-A2
T00097,C0117,P0311,1,2024-01-13,1,WH-A4
T00098,C0818,P0068,5,2024-01-25,4,WH-A1
T00099,C0368,P0463,3,2024-01-13,7,WH-C2
T00100,C0094,P0088,2,2024-01-18,2,WH-E4
T00101,C0168,P0217,2,2024-01-29,5,WH-C8
T00102,C0954,P0001,1,2024-01-27,5,WH-B9
T00103,C0715,P0135,5,2024-01-24,1,WH-B8
T00104,C0341,P0697,1,2024-01-02,3,WH-B8
